I open my mind to see games as art.
Books are literary devices as games are.
Video Games are capable of exploring empathy.
The Smithsonian has accepted games as Art.
We are capable of artistic expression
I'm trying to understand you.
Please try to understand
You are powerful.
Museums are great.
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
Positive words 0
